MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
e0:91:f5:de:fa:4f,NETGEAR-5G,[WPS][ESS],5/9/2012 2:02,36,-67,44.67023722,-74.98363701,104.1999969,7,WIFI
e2:91:f5:de:fa:51,bonesaw_Guest,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS],5/9/2012 2:02,11,-62,44.67023722,-74.98363701,104.1999969,7,WIFI
e0:91:f5:de:fa:50,BONESAW_HQ,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],5/9/2012 2:02,11,-62,44.67023722,-74.98363701,104.1999969,7,WIFI
e0:91:f5:5e:34:60,Happy_Clam,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS][ESS],5/9/2012 2:02,6,-61,44.67023722,-74.98363701,104.1999969,7,WIFI
90:84:0d:d6:8b:69,Nationwide,[WPA2-PSK-CCMP][ESS],5/9/2012 2:02,1,-85,44.67023722,-74.98363701,104.1999969,7,WIFI
00:08:9f:7b:06:d1,myLGNet,[WEP][ESS],5/9/2012 2:02,11,-79,44.67023722,-74.98363701,104.1999969,7,WIFI
00:23:69:c1:a9:ef,linksys,[WPA-PSK-TKIP][ESS],5/9/2012 2:02,6,-87,44.67023722,-74.98363701,104.1999969,7,WIFI
310410_11506_144930464,AT&T,UMTS;us,5/9/2012 2:02,0,-97,44.67023722,-74.98363701,104.1999969,7,GSM
00:13:46:0b:ba:0a,rock,[WPA-PSK-TKIP][ESS],5/9/2012 2:02,1,-88,44.67022292,-74.98368092,99,8,WIFI
310410_11506_144930461,AT&T,HSPA;us,5/9/2012 2:02,0,-101,44.67020193,-74.98369084,95.19999695,6,GSM
08:86:3b:26:f2:9d,belkin.29d,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],5/9/2012 2:02,11,-92,44.67023035,-74.98368929,94.5,7,WIFI
